	1	6
	10	3
	100	5
	101	1
	102	9
	103	3
	104	7
	105	16
	106	14
	107	20
	108	15
	109	11
	110	18
	111	7
	112	16
	113	9
	114	12
	115	7
	120	8
	121	2
	122	8
	123	4
	13	10
	14	17
	17	9
	18	13
	19	10
	20	5
	23	5
	24	5
	25	8
	26	3
	28	5
	30	6
	32	5
	33	7
	34	5
	40	11
	41	5
	42	3
	43	19
	44	5
	45	8
	46	14
	47	10
	48	15
	49	7
	5	5
	50	7
	52	5
	6	3
	60	5
	61	9
	62	14
	63	9
	66	5
	67	8
	68	12
	69	10
	7	7
	70	15
	71	10
	72	8
	73	7
	75	19
	76	4
	77	3
	78	11
	79	7
	81	7
	83	16
	84	14
	88	8
	9	5
	90	7
	94	4
1900	13	1
1900	19	1
1900	23	1
1900	61	1
1900	66	1
1905	103	1
1905	23	1
1906	67	1
1908	109	1
1908	30	1
1908	43	1
1909	18	1
1909	66	1
1909	67	1
1910	109	1
1910	111	1
1910	112	1
1910	43	1
1910	52	1
1910	61	1
1910	63	1
1910	9	1
1910	90	1
1911	103	1
1911	110	1
1911	43	4
1911	90	1
1912	14	1
1912	18	1
1912	32	1
1912	41	1
1912	47	1
1912	73	2
1912	9	2
1913	103	1
1913	105	1
1913	114	1
1913	17	1
1913	19	1
1913	43	1
1913	68	1
1913	77	1
1913	81	1
1914	108	1
1914	114	2
1914	32	1
1914	34	1
1914	42	1
1914	43	2
1914	50	1
1914	71	1
1915	107	1
1915	114	1
1915	26	1
1915	67	1
1915	71	1
1915	77	1
1915	79	1
1919	67	1
1920	17	1
1920	43	2
1920	48	1
1920	67	1
1920	73	1
1922	67	1
1929	52	1
1930	43	1
1938	13	1
1940	66	1
1941	112	1
1941	19	1
1942	114	1
1942	120	1
1945	106	1
1945	83	1
1946	1	1
1948	105	1
1950	102	1
1950	28	1
1950	75	1
1954	115	1
1954	88	1
1955	41	1
1955	70	1
1955	73	1
1956	9	1
1958	6	1
1959	73	2
1960	10	1
1960	120	1
1960	23	1
1960	25	1
1960	28	1
1960	47	1
1960	70	1
1960	71	1
1961	105	1
1962	52	1
1962	67	1
1962	79	1
1964	70	1
1965	1	1
1965	104	1
1965	6	1
1965	71	1
1965	78	1
1966	111	1
1966	123	1
1966	13	1
1966	14	3
1966	19	1
1966	28	1
1966	40	2
1966	41	2
1966	42	3
1966	44	1
1966	45	1
1966	48	1
